,Job,Company,Location,Experience,Pay,Posted on
0,Manager – Business Risk Review  (Internal Audit Function),"Albaraka Bank Pakistan Ltd,",Karachi,6 Years,N/A,"Aug 06, 2025"
1,Data Analysis Specialist,"Silent Alpha,",Lahore,1 Year,30K - 45K,"Aug 06, 2025"
2,Manager Accounts,"Ravi Group of Companies,",Lahore,5 Years,90K - 100K,"Aug 06, 2025"
3,Business Development Officer,"Allied Bank,",", Pakistan",Fresh,35K - 50K,"Aug 06, 2025"
4,Sales / Marketing Executive,"Forever Business,",Lahore,1 Year,40K - 70K,"Aug 06, 2025"
5,Assistant Manager - HR,"AA Exchange Company (Pvt) Ltd.,",Islamabad,6 Years,90K - 100K,"Aug 05, 2025"
6,Phone Banking Officer - (Third Party Contract),"Habib Bank Limited (HBL),",", Pakistan",Fresh,N/A,"Aug 05, 2025"
7,Teller,"Ravi Group of Companies,",Kohat,1 Year,N/A,"Aug 05, 2025"
8,Banking Services Manager,"Mobilink Bank,",Moro,N/A,N/A,"Aug 05, 2025"
9,Relationship Officer Asset Sales,"Mobilink Bank,",", Pakistan",N/A,N/A,"Aug 05, 2025"
10,Relationship Officer Asset Sales,"Mobilink Bank,",", Pakistan",N/A,N/A,"Aug 05, 2025"
11,Data Entry Operator,"AA Exchange Company (Pvt) Ltd.,",Islamabad,Fresh,N/A,"Aug 04, 2025"
12,Head of Marketing Strategy & Branding,"The Bank of Punjab (BOP),",Lahore,9 Years,N/A,"Aug 04, 2025"
13,Office Boy,"AA Exchange Company (Pvt) Ltd.,",Islamabad,Fresh,N/A,"Aug 04, 2025"
14,Teller / Senior Teller,"Ravi Group of Companies,",Lahore,Fresh,35K - 40K,"Aug 04, 2025"
15,Relationship Officer Deposit Banking,"Mobilink Bank,",Islamabad,N/A,N/A,"Aug 04, 2025"
16,Branch Manager,"Mobilink Bank,",Alipur,N/A,N/A,"Aug 04, 2025"
17,General Banking Officer,"Mobilink Bank,",", Pakistan",N/A,N/A,"Aug 04, 2025"
18,Relationship Manager SME,"Mobilink Bank,",", Pakistan",N/A,N/A,"Aug 04, 2025"
19,Teller,"Ravi Group of Companies,",Okara,1 Year,N/A,"Aug 01, 2025"
20,Business Analyst - CBS,"NRSP Microfinance Bank Limited,",Islamabad,2 Years,N/A,"Aug 01, 2025"
21,Banking Services Manager,"Mobilink Bank,",Karachi,N/A,N/A,"Aug 01, 2025"
22,Relationship Officer SME,"Mobilink Bank,",Quetta,N/A,N/A,"Aug 01, 2025"
23,Senior Manager Field Collections (North Punjab & South Punjab),"The Bank of Punjab (BOP),",", Pakistan",5 Years,N/A,"Jul 31, 2025"
24,Manager – ERP & Process Improvement,"U Microfinance Bank,",Islamabad,5 Years,N/A,"Jul 31, 2025"
25,Unit Head Field Collections & Recoveries,"The Bank of Punjab (BOP),",Lahore,7 Years,N/A,"Jul 31, 2025"
26,Accounts Intern,"AA Exchange Company (Pvt) Ltd.,",Islamabad,Fresh,N/A,"Jul 31, 2025"
27,Branch Manager,"Mobilink Bank,",Shorkot,N/A,N/A,"Jul 31, 2025"
28,General Banking Officer,"Mobilink Bank,",Karachi,N/A,N/A,"Jul 31, 2025"
29,Relationship Officer Asset Sales,"Mobilink Bank,",Muzaffargarh,N/A,N/A,"Jul 31, 2025"
30,General Banking Officer,"Mobilink Bank,",Dina,N/A,N/A,"Jul 31, 2025"
31,Relationship Officer Asset Sales,"Mobilink Bank,",Islamabad,N/A,N/A,"Jul 31, 2025"
32,Data Entry Operator,"AA Exchange Company (Pvt) Ltd.,",Okara,Fresh,N/A,"Jul 30, 2025"
33,Manager Operational Risk,"U Microfinance Bank,",Islamabad,3 Years,N/A,"Jul 30, 2025"
34,Assistant Manager Operational Risk,"U Microfinance Bank,",Islamabad,3 Years,N/A,"Jul 30, 2025"
35,Teller,"Ravi Group of Companies,",Kalar Syedian,1 Year,N/A,"Jul 30, 2025"
36,Teller,"Ravi Group of Companies,",Gujar Khan,1 Year,N/A,"Jul 30, 2025"
37,Teller,"Ravi Group of Companies,",Rawalpindi,1 Year,N/A,"Jul 30, 2025"
38,Regional Inspector,"AA Exchange Company (Pvt) Ltd.,",Islamabad,1 Year,N/A,"Jul 30, 2025"
39,Relationship Officer Deposit Banking,"Mobilink Bank,",Chitral,N/A,N/A,"Jul 30, 2025"
40,Analyst Bank Reconciliation,"Mobilink Bank,",Islamabad,N/A,N/A,"Jul 30, 2025"
41,Relationship Officer Asset Sales,"Mobilink Bank,",", Pakistan",N/A,N/A,"Jul 30, 2025"
42,Relationship Officer SME,"Mobilink Bank,",Mansehra,N/A,N/A,"Jul 30, 2025"
43,Relationship Officer SME,"Mobilink Bank,",Mardan,N/A,N/A,"Jul 30, 2025"
44,Relationship Officer SME,"Mobilink Bank,",Mardan,N/A,N/A,"Jul 30, 2025"
