description,company_name,job_title,location,time_posted,applicants,type_info,company_info,skills
"About the job
Job Description

We are on the lookout for skilled Senior Python Developers to join our forward-thinking team focused on advancing AI technology. This role is perfect for professionals who excel in crafting innovative solutions and wish to be at the cutting edge of AI development. You will collaborate with various U.S.-based companies to create both commercial and research-oriented AI solutions.

Required Skills

Write efficient Python code to address complex problems
Utilize business acumen and analytical skills to derive insights from public databases
Clearly articulate reasoning and logic when coding in Jupyter notebooks or other appropriate platforms
At least 2 years of experience working with Python, in either full-stack development or Data Science
Proficiency with Python’s syntax and conventions
Prior experience in solving algorithmic challenges
Experience in Software Quality Assurance and Test Planning is a plus
Meticulous attention to detail
Excellent spoken and written English communication skills",Cutting Edge Search,Python Engineer for Innovative AI Applications,Pakistan , 1 day ago , Over 100 applicants,Remote Full-time Entry level,Remote Full-time Entry level,"Communication, Data Science, Databases, Full-Stack Development, and Python (Programming Language)Attention to Detail, Jupyter, Software Quality, Software Quality Assurance, and Stack"
"About the job
About Our Company
Millennium Nexus, Beyond Apps Group company (www.beyond-apps-group.com), is hiring.
 We use state-of-the-art trends and technologies to develop unique & awesome products with enhanced features. Our major product lines use technologies such as Computer Vision & Image Processing, Machine Learning, VR & AI, Multi-Camera Live Streaming and extensive mobile development. 
Our products, which cover several markets, include the following: 
· Professional quality multi-live broadcasting for consumers and enterprises
· Video & photo editing for consumers and professional content creators
· Unique global real estate property management and property listings
· Global yacht/boat listings, services, and marina management
Our dedication to creating an exceptional workplace extends from Silicon Valley’s proven management experience and principles to all our teams and locations.
 We are certain that working with our highly-skilled team would be one of the greatest experiences of your career. 
 Job Title
Sales Development Representative (SDR) 
 Your Contributions
  Job Description:
 We are looking for a dynamic and results-driven Sales Development Representative (SDR) to join our team. The SDR will be responsible for prospecting, qualifying, and generating new sales leads to support our marketing & sales team. The ideal candidate will have a passion for sales, excellent communication skills, and a strong work ethic.
 Responsibilities:
· Prospect and qualify leads through cold calling, email campaigns, and other outreach methods to introduce our platform and invite users to sign up for user acquisition. 
· Clearly communicate the value proposition and benefits of our platform, promoting our services to prospective users. 
· Build relationships with users, securing commitments to join our platform and utilize our services. 
· Maintain leads, closely tracking progress through the onboarding process. 
· Consistently meet or exceed user acquisition targets. 
· Provide regular updates and reports on user acquisition progress to the Management team, ensuring clear communication and alignment on objectives. 
· Deliver excellent customer service, addressing any inquiries or concerns that users may have in a timely and professional manner. 
 Required Qualifications:
· Proven experience as a Sales Development Representative or similar role
· Strong English communication and interpersonal skills
· Ability to work in a fast-paced, dynamic environment
· Goal-oriented with a strong drive for results
· Familiarity with CRM software and sales processes
· Bachelor's degree in Business Administration, Marketing, or related field is preferred.
 Preferably with sales experience in the real estate industry or a strong understanding of the real estate agent market
    What We Offer You
· Competitive compensation
· Exciting work environment and challenging projects
· Excellent growth opportunity
  If you are looking for challenging opportunities in an exciting up-and-coming international company and want to make your mark, we would love to hear from you.
 You can view the product we are hiring for at ziba-property.com or download the app “Ziba Property” from the Apple store or Google store.

    Please forward your resume to: career@beyond-apps-group.com",Beyond Apps Group ,Sales Development Representative,"Lahore Division, Punjab, Pakistan ", 2 months ago , Over 100 applicants,On-site Full-time,On-site Full-time,"EnglishCold Calling, Customer Relationship Management (CRM), Lead Generation, Marketing, Sales Development, Sales Prospecting, Sales and Marketing, and Teamwork"
"About the job
Ibex, for one of it's global client, is looking to hire Data Visualization Specialist (UX).
Responsibilities:
Developing and maintaining design wire-frames and specifications
Collaborating with visual designers and creative directors to incorporate a visual or brand identity into the end product
Communicating screen designs, interaction models, end-to-end experiences, and the target audience to other members of the project team
Considering the human-computer interface element of a design
Comparing the user experience of existing applications and working to design better alternatives
Keeping current with industry trends and competitor products, and communicating design prototypes and ideas to developers
Working with UI Designers to implement attractive designs
Developing task flows and wireframes based on user needs
Requirements:
Bachelors in CS or relevant field
Expert in designing reports for user experience (UX design)
Expert at writing principles for cohesive reporting systems
Proactive, organized, Diligent & detail oriented
Good understanding of Power BI
Comfortable in EST time zone (Evening/night - Work from home)",ibex. Pakistan,Data Visualization Specialist (UX),"Lahore, Punjab, Pakistan ", 3 weeks ago , Over 100 applicants,On-site Full-time Mid-Senior level,On-site Full-time Mid-Senior level,
"About the job
Who We Are

Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks.

Motive serves more than 120,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, including transportation and logistics, construction, energy, field service, manufacturing, agriculture, food and beverage, retail, and the public sector.

Visit gomotive.com to learn more.

About The Role

As a Software Engineer - Machine Learning, you will be a part of a passionate team whose mission is to bring intelligence to the world’s trucks. The team is focused on building technology to understand driving behavior, identify risk factors, and intelligently suggest coachable events that not only improve the fleet safety and potentially save millions of dollars but also contribute to making the roads safer. You will have a unique opportunity to work with a high-caliber and fast-paced team which consists of experienced researchers and engineers in Computer Vision, Machine Learning, Deep Learning, and Robotics with a track record of previous products and top-tier publications.

You will play a critical role in building and improving a technology that will be used by millions of trucks. In this role, you will design and implement complex machine-learning systems. You will have the opportunity to build and/or improve ML/computer vision systems. Identify where models and algorithms are failing, debug issues, propose solutions, implement, and deploy them on millions of trucks. You will also get exposure to large-scale ML infra and scaling that facilitates large amounts of data to train, test, and validate computer vision systems.

What You’ll Do

Evaluate and improve the performance of existing models and algorithms already in production
Prototype and implement ML modules for complex AI features
Build and optimize CV/ML algorithms for real-time performance so they can run on our embedded platform, i.e., the next-gen AI dashcam
Write proficient Python and C++ code to build and improve CV algorithms, ML services, training, model compression, and porting pipelines
Collaborate with cross-functional teams such as Embedded, Backend, Frontend, Hardware, QA, and the broader AI team to ensure the development of robust and sustainable AI systems
Build automated deployment, validation, and active learning pipelines.

What We’re Looking For

Bachelor’s Degree in Computer Science, Electrical Engineering, or related field. A Master’s degree is a plus. 
5+ years of machine learning and/or data science experience
Solid mathematical foundation in Deep Learning, Machine Learning, and optimization approaches.
Strong experience in Python or C++
Experience in the following tools and technologies is a plus. AWS (SageMaker, Lambda, EC2, S3, RDS), CI/CD, Terraform, Docker, and Kubernetes.
Prior experience with optimizing and deploying ML models on embedded devices is a strong plus

Creating a diverse and inclusive workplace is one of Motive's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives. 

Please review our Candidate Privacy Notice here.

The applicant must be authorized to receive and access those commodities and technologies controlled under U.S. Export Administration Regulations. It is Motive's policy to require that employees be authorized to receive access to Motive products and technology.",Motive,Senior Machine Learning Engineer,Pakistan , Reposted 1 week ago , Over 100 applicants,Remote Full-time Mid-Senior level,Remote Full-time Mid-Senior level,
"About the job
Devsinc is looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers.

To be successful as a Python developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python developer is able to design highly responsive web-applications that perfectly meet the needs of the client.

Python Developer Responsibilities:

Coordinating with development teams to determine application requirements
Writing scalable code using Python programming language
Testing and debugging applications
Developing back-end components
Integrating user-facing elements using server-side logic
Assessing and prioritizing client feature requests
Integrating data storage solutions
Coordinating with front-end developers
Reprogramming existing databases to improve functionality
Developing digital tools to monitor online traffic


Requirements

Bachelor's degree in computer science, computer engineering, or related field
3-5 years of experience as a Python developer
Expert knowledge of Python and related frameworks including Django and Flask
A deep understanding and multi-process architecture and the threading limitations of Python
Ability to integrate multiple data sources into a single system
Familiarity with testing tools
Ability to collaborate on projects and work independently when required


Benefits

Private Health Insurance
Pension Plan
Paid Time Off
Work From Home
Training & Development
Performance Bonus",Devsinc,Software Engineer (Python) - 1,"Lahore, Punjab, Pakistan ", 3 days ago , Over 100 applicants,On-site Full-time Mid-Senior level,On-site Full-time Mid-Senior level,
"About the job
About us:

CureMD excels in providing advanced tools and technologies that empower healthcare professionals to make informed decisions about patient care. Our state-of-the-art solutions harness the power of data analytics, artificial intelligence, and machine learning to analyze patient information, decipher patterns, and render actionable insights. These advanced technologies equip physicians with profound insights into each patient's health, enabling them to formulate precise diagnoses, implement highly effective treatment strategies, and deliver top quality care with ease.

Job Overview:

The Application Security Analyst at CureMD is a crucial member of our security team responsible for safeguarding our applications, data, and systems against potential security threats and vulnerabilities. This position offers a unique opportunity for professional growth and skill development within the field of application security. As an Application Security Analyst, you will work under the guidance of experienced security professionals, gaining hands-on experience in identifying and addressing security risks.

Essential Job Responsibilities:

Security Assessments.
Ability to exploit recognized vulnerabilities and discover new vulnerabilities.
Analyzing and auditing the Source code of the Web/Mobile Application.
Proficiency in scripting, Unix operating systems and windows.
Proficient in Linux operating system configuration, utilities, and programming,
Conducted manual external and internal penetration testing.
Conduct Penetration testing/ Vulnerabilities Assessment for Cloud based web, desktop, and mobile apps.
Perform static and dynamic code testing, manual code inspection, threat modeling, design reviews to identify vulnerabilities and security defects
Keep up with the latest methods for ethical hacking and testing and are always evaluating new penetration testing tools
Collaborate with other team members and stakeholders
Assist in Security operational tasks.

Required Qualifications:

Bachelors in Information/Cyber Security, Information Technology, Computer Science or Software Engineering with majors in Information Security.
Having 1 - 2 years of relevant experience
Good understanding of security tools and technologies for performing Penetration Testing.
Have Knowledge of different coding languages.

Compensation and Benefits:

Competitive base salary and a yearly bonus.
Health benefits (Outpatient, Inpatient, Maternity, Inpatient for Parents).
Provident Fund company matches up to 8% of the base salary.
Company-sponsored trainings, workshops, education, and development programs.
Collaborative yet fun-loving atmosphere: space that fosters employee wellbeing.
Commuter support, supportive workspaces, gym facility, and daycare.
Car Financing Policy.",CureMD,Application Security Analyst,"Lahore, Punjab, Pakistan ", Reposted 1 week ago , Over 100 applicants,Full-time Entry level,Full-time Entry level,"Computer ScienceAnalytical Skills, Ethical Hacking, Incident Response, Malware Analysis, Penetration Testing, System Configuration, Threat Modeling, Vulnerability Assessment, and Vulnerability Management"
"About the job
An esteemed U.S.-based client seeks an ambitious Full-stack Engineer to join their ranks.

The selected individual will be aiming to develop cutting-edge AI solutions for commercial and research purposes.

Job Responsibilities:

Employ Python and/or Javascript/Typescript knowledge to address issues, incorporating business acumen to optimize code functionality and organizational efficiency.
Facilitate transparent communication with stakeholders to align efforts with organizational objectives.
Develop reliable response mechanisms using scripting or algorithms for seamless user interactions.
Participate in error-solving, note issues, and propose exact fixes.
Collaborate effectively with researchers to understand requirements and deliver valuable insights.

Job Requirements:

Open to all applicants, from those just starting their careers to those well-acquainted with the industry.
Bachelor's degree in Engineering, Computer Science, or a related technical field is necessary.
Understanding of software engineering practices.
Good understanding of Python and JavaScript/TypeScript.
Can effectively communicate in both spoken and written English.

Job Benefits:

Collaborate with leading experts worldwide and become part of a network tailored to your aspirations
Enjoy remote work flexibility with no traditional job constraints
Competitive salary based on global standards in USD
Contribute to pioneering projects that push technological boundaries, keeping you at the forefront of your field.

Join us now and advance your career. Take the tests and multiple-choice questions today to increase your chances of securing one of our exciting positions. Seize this opportunity to play a pivotal role in our mission and transform the technology landscape for all.",Turing,Remote Fullstack Developer,Pakistan , Reposted 3 days ago , 52 applicants,Remote Full-time Entry level,Remote Full-time Entry level,
"About the job
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, IgniteTech. Have you got what it takes?

The software development industry is rapidly evolving, driven by the imperative to enhance development speed, reduce human error, and elevate code quality. These enhancements are crucial as they correlate directly with faster product time-to-market and heightened customer satisfaction. The average time for software deployment has historically lagged due to traditional coding practices, with an estimated 30% of projects exceeding their timeline due to inefficiencies and errors.

IgniteTech is leading the transformation, integrating advanced GenAI technologies to redefine software architecture and development. Unlike traditional roles that focus on incremental improvements, this position offers the thrilling opportunity to lead pivotal AI-driven initiatives. You will be at the forefront of integrating AI to not just enhance, but revolutionize software development processes and outcomes, significantly boosting efficiency and competitiveness on a strategic level.

This role is designed for those who are driven to be at the cutting edge of technology and innovation. It is not merely an operational or task-oriented position; it is a strategic role that involves extensive research and development, prototyping, and the application of AI in crafting next-generation software solutions. Ideal candidates are those who are not only proficient in AI and software architecture but are also visionary in their approach to leveraging technology for business innovation.

In this role, you will lead our team in shaping the architectural frameworks and strategies that integrate AI into our software solutions. This role is integral to our mission, and your work will directly influence the productivity and quality of our deliverables. We invite you to join us if you are passionate about pushing the boundaries of technology and eager to make a tangible impact in the software industry.

What You Will Be Doing

Design the overarching architecture for AI-driven systems that automate complex aspects of software development, such as architecture generation, dependency management, and advanced predictive coding.
Deep dive into the latest developments in AI and software engineering by participating in R&D initiatives, attending conferences, and engaging with academic and professional communities. When a new AI technology comes out, we need to be among the first to know about it.

What You Won’t Be Doing

Routine Code Maintenance: Regular updating or debugging of existing software code to fix minor issues or improve functionality.
Standard Software Development: Basic coding or software development tasks that involve implementing straightforward features or functionalities without AI integration.

Back End Developer Key Responsibilities

Use your engineering expertise to bring about a significant increase in development speed, reduction in human error, and improvement in code quality, ultimately leading to faster time-to-market for software products and enhanced customer satisfaction.

Basic Requirements

At least 3 years of professional experience implementing impactful initiatives as a software engineer
Familiarity with GenAI code assistants (e.g., Github Copilot, Cursor.sh, v0.dev)
Previous experience successfully implementing Generative AI products/projects/solutions/tools
Previous experience leveraging different LLMs (e.g., GPT, Claude, Mistral) to solve business problems

About IgniteTech

If you want to work hard at a company where you can grow and be a part of a dynamic team, join IgniteTech!

Through our portfolio of leading enterprise software solutions, we ignite business performance for thousands of customers globally. We’re doing it in an entirely remote workplace that is focused on building teams of top talent and operating in a model that provides challenging opportunities and personal flexibility.

A career with IgniteTech is challenging and fast-paced. We are always looking for energetic and enthusiastic employees to join our world-class team.

We offer opportunities for personal contribution and promote career development. IgniteTech is an Affirmative Action, Equal Opportunity Employer that values the strength that diversity brings to the workplace.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $50 USD/hour, which equates to $100,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:

You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.

Important! If you do not receive an email from us:

First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.

Crossover Job Code: LJ-5269-PK-Lahore-BackEndDevelop.001",Crossover ,"Back End Developer, IgniteTech (Remote) - $100,000/year USD","Lahore, Punjab, Pakistan ", Reposted 24 minutes ago , 47 applicants,$50/hr Remote Full-time Mid-Senior level,$50/hr Remote Full-time Mid-Senior level,
"About the job
A leading US client is seeking Data Scientists.

As a Data Scientist on our team, your daily tasks will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities:

Develop efficient Python codes and gather necessary insights from public datasets.
Communicate with researchers to align with project goals.
Draft codes on Jupyter notebooks with documentation
Utilize public data sources (eg Kaggle) to address inquiries using data analysis.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or equal experience
Minimum of 2 years working as a data scientist.
2 years of hands-on experience in data analysis.
Proficient in Python with a professional track record of 2 years.
Strong grasp of data science and analysis principles.
Fluent in spoken and written English.

Nice to have:

Knowledge of SQL is a plus.
Strong problem-solving and analytical skills are necessary.

Job Benefits:

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Signup today to propel your career forward. Complete the assessments and MCQs immediately to enhance your prospects of securing one of our thrilling roles. Embrace this chance to make a significant impact on our mission and reshape the technology scene for everyone.",Turing,Remote Data Scientist,Pakistan , Reposted 1 week ago , 81 applicants,Remote Full-time Entry level,Remote Full-time Entry level,Data ScienceData Analysis
"About the job
We are seeking a highly motivated and dynamic individual to join our team as an Associate Sales Manager in the real estate sector. The Associate Sales Manager will be responsible for assisting in sales activities, coordinating with clients, and supporting the sales team to achieve targets. This role requires excellent communication skills, a strong understanding of the real estate market, and the ability to thrive in a fast-paced environment.
Key Responsibilities:
Assist in the development and implementation of sales strategies to achieve company targets.
Collaborate with the sales team to identify new business opportunities and generate leads.
Build and maintain relationships with clients, providing exceptional customer service and addressing any inquiries or concerns.
Conduct market research to stay updated on industry trends, competitor activities, and customer preferences.
Assist in the preparation of sales presentations, proposals, and contracts.
Coordinate property viewings and accompany clients during site visits.
Support the sales team in negotiations and closing deals with prospective buyers or tenants.
Maintain accurate records of sales activities, including client interactions, sales calls, and deal progress.
Assist in organizing promotional events and marketing campaigns to increase brand awareness and attract potential clients.
Collaborate with other departments such as marketing, finance, and legal to ensure smooth execution of sales transactions.
Qualifications:
Bachelor's degree in Business Administration, Marketing, Real Estate, or a related field.
Proven experience in sales or real estate, with a strong track record of achieving targets.
Excellent communication, negotiation, and interpersonal skills.
Knowledge of real estate laws, regulations, and procedures.
Ability to work effectively in a team environment and independently with minimal supervision.
Strong organizational and time management skills, with the ability to prioritize tasks and meet deadlines.
Proficiency in MS Office and CRM software.
Valid driver's license and access to a reliable vehicle.
Preferred Qualifications:
Previous experience in a sales management or leadership role.
Certification in real estate sales or brokerage.
Familiarity with local market trends and property development projects.
Fluency in multiple languages, particularly those commonly spoken in the local area.

Location: Lahore",Zameen.com,Associate Sales Manager,"Lahore, Punjab, Pakistan ", 3 days ago , 31 applicants,On-site Full-time Associate,On-site Full-time Associate,"CommunicationBusiness Development, Customer Interaction, Estate Sales, Market Research, Marketing, Negotiation, Real Estate, Sales Presentations, and Sales Strategy"
