jobTitle,companyName,postingDate,salaryRange,industry,recruiterPhone,location,jobType,skills,recruiterEmail,url
Assistant Manager Internal Audit,HBL Asset Management Ltd,2025-12-12 11:15:40.179000+00:00,,,,,,,,
Sales Associate,Berger Paints Pakistan,2025-12-12 11:22:22.277000+00:00,,,,Karachi,Full-time,['Experience in Automative Paints'],Awais.iftikhar@berger.com.pk,"{path: https://www.linkedin.com/posts/awais-iftikhar-8429a1290_automotivepaints-paintsindustry-chemecals-activity-7405109352631721984-Rj4q?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Management Trainee Officer (Electrical),Kohinoor Mills,2025-12-12 12:07:28.036000+00:00,,,,Kasur,Full-time,['Fresh Graduates '],kwml.hr@kohinoormills.com,"{path: https://www.linkedin.com/posts/kohinoormills_kohinoor-mills-limited-is-seeking-for-management-activity-7405127554795401217-JL0P?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Tax Executive,Style Textile,2025-12-12 12:08:57.808000+00:00,,,,Lahore,Full-time,[],hammad.qureshi@styletextile.com,"{path: https://www.linkedin.com/posts/styletextile_nowhiring-employmentopportunity-stylecareers-activity-7405086375978459137-AiK8?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Executive Import/Export and Logistics,Aisha Steel Mills Limited,2025-12-12 14:02:54.372000+00:00,,,,Karachi,Full-time,['Supply Chain Management'],cereers@aishasteel.com,"{path: https://www.linkedin.com/posts/hbl-asset-management-limited_shape-the-future-with-us-were-looking-for-activity-7405111991750864896-mRId?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Assistant Manager Risk Management,Adamjee Insurance Company Limited,2025-12-12 14:05:18.628000+00:00,,,,Lahore,Full-time,['Engineers and Risk Professionals'],recruitment@adamjeeinsurance.com,"{path: https://www.linkedin.com/posts/adamjeeinsurance_riskmanagement-assistantmanager-engineering-activity-7405167309109288961-Nhwj?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Head of Quick Service Restaurants,Dawn Foods Corp Limited,2025-12-12 14:08:01.388000+00:00,,,,Lahore,Full-time,['Leadership in Restaurants Industry'],hr@dawnbread.com.pk,"{path: https://www.linkedin.com/posts/dawncorporation_hiring-position-head-of-qsr-quick-service-activity-7405157766236987393-nJoj?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
E-commerce Manager,Airlink Communication,2025-12-12 14:09:39.720000+00:00,,,,Lahore,Full-time,['Marketing and Business Administration'],careers@airlinkcommunication.net,"{path: https://www.linkedin.com/posts/airlink-communication_were-hiring-e-commerce-manager-location-activity-7405124285599821824-kgwC?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Manager Shariah Complaince,Samba Bank Limited,2025-12-12 14:12:11.176000+00:00,,,,Karachi,Full-time,['Relevant Experience'],careers@samba.com.pk,"{path: https://www.linkedin.com/posts/samba-bank-ltd%2E_sambabank-careersatsambabank-managershariahcompliance-activity-7405145232918695936-QV5_?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
SEO and Content Executive,United Sol,2025-12-12 15:34:04.720000+00:00,,,920518000000.0,Islamabad,Full-time,"['Off Page SEO', 'On Page SEO']",career@unitedsol.net,"{path: https://www.linkedin.com/posts/unitedsol-pvt-ltd_jobs-islamabadjobs-careeropportunities-activity-7404856396065853441-VyGD?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Manager Finance,Cotton Web Limited,2025-12-13 23:01:48.521000+00:00,,,,Lahore,Full-time,['ACMA'],hr@cottonweb.net,"{path: https://www.linkedin.com/posts/cottonweblimited_cotton-web-limited-is-hiring-%F0%9D%90%8C%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%9A%F0%9D%90%A0-activity-7405472889812017153-52vq?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Senior Officer Sales Tax,Liberty Mills Limited,2025-12-13 23:04:35.245000+00:00,,,,Karachi,Full-time,['Accounting and Finance'],career@libertymillslimited.com,"{path: https://www.linkedin.com/posts/liberty-mills-limited-people-s-partner_newhiring-textilehiring-libertymillslimited-activity-7405528165479190528-6qCg?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
